"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"109",6197,6.73,25.15,2.03,1.76,3.7,1.72,1.38,7.17,0.03,0.02,1.5,10,12.0875,104.48,51.09,111.94,12.06,113.07,137.97,18.29,1,"Utica FM"
"110",6197.6,6.72,27.71,2.23,0.44,3.78,1.93,0.65,6.4,0.03,0.1,1.5,125.08,13.04,115.47,40.43,79.77,22.85,48.22,136.74,24.22,1,"Utica FM"
"111",6198,7.79,29.07,2.35,0.47,3.73,1.91,1.39,6.6,0.03,0.08,1.5,154.23,14.445,85.29,61.32,91.87,9.62,48.67,138.79,25.11,1,"Utica FM"
"112",6198.6,7.51,26.84,2.28,0.46,4.03,2.11,1.4,8.65,0.03,0.08,5.72,138.85,15.85,109.7,69.17,117.96,26.96,44.96,137.02,24.99,1,"Utica FM"
"113",6199,6.26,24.58,1.9,0.001,3.55,1.96,1.58,11.22,0.03,0.12,1.5,10,13.21,108.43,39.85,83.42,8.74,39.65,114.45,17.45,1,"Utica FM"
"114",6199.6,7.23,26.51,2.17,0.001,3.85,2.22,1.46,9.07,0.04,0.05,1.5,10,11.89,122.5,43.76,86.92,9.07,110.11,135.01,21.91,1,"Utica FM"
"115",6200,7.09,26.05,2.08,1.27,4.11,2.12,1.68,7.28,0.03,0.02,1.5,10,11.23,87.35,60.78,63.21,9.68,111.78,132.24,23.69,1,"Utica FM"
"116",6200.6,6.69,25.18,2.01,0.41,4.17,2.41,1.33,10.87,0.04,0.1,1.5,134.47,10.57,93.33,51.31,66.37,25.31,40.45,149.3,22.63,1,"Utica FM"
"117",6201,6.84,25.55,2.12,0.001,3.73,2.03,1.59,10.1,0.04,0.12,1.5,10,9.43,103,51.78,94.45,7.32,104.06,140.25,24.1,1,"Utica FM"
"118",6201.6,7.46,27.64,2.39,0.001,3.86,1.93,1.62,6.83,0.03,0.09,1.5,10,8.86,120.16,38.38,95.11,8.94,115.39,142.98,21.12,1,"Utica FM"
"119",6202,7.74,28.53,2.37,0.46,3.77,2.17,1.58,6.48,0.03,0.08,1.5,145.06,8.29,92.01,47.82,80.77,9.18,46.2,138.51,18.68,1,"Utica FM"
"120",6202.6,7.93,29.06,2.37,0.001,3.84,2.41,2.03,6.1,0.03,0.05,1.5,10,11.49,93.46,63.6,71,7.97,116.52,139.76,18.81,1,"Utica FM"
"121",6203,6.98,26.22,2.25,0.001,3.74,1.93,1.02,8.58,0.03,0.13,1.5,10,13.09,115.32,55.84,87.58,9.83,45.77,120.52,16.45,1,"Utica FM"
"122",6203.6,6.98,25.44,2.16,0.001,3.64,1.85,0.82,9.71,0.03,0.11,1.5,10,13.89,96.06,47.04,96.99,8.96,42.09,121.83,23.04,1,"Utica FM"
"123",6204,6.43,24.29,1.81,0.001,3.4,1.71,1.09,13.05,0.05,0.08,1.5,10,14.29,99.65,54.18,120.56,10.49,91.34,157.05,18.31,1,"Utica FM"
"124",6204.6,7.72,27.25,2.37,0.43,3.21,1.63,0.99,8.14,0.04,0.15,1.5,122.98,14.69,98.97,47.04,132.99,10.73,45.41,174.66,21.28,1,"Utica FM"
"125",6205,6.23,24.79,1.96,0.001,3.42,1.78,1.22,11.56,0.04,0.21,1.5,10,12.14,87.23,56.59,128.27,9.93,95.41,156.9,15.91,1,"Utica FM"
"126",6205.6,7.2,26.61,2.22,0.001,3.57,1.63,0.99,8.87,0.04,0.13,1.5,10,10.865,89.36,39.37,92.52,13.02,106.08,156.85,12.9,1,"Utica FM"
"127",6206,7.05,27.01,2.25,0.69,3.67,1.73,1.44,7.43,0.03,0.13,1.5,136.13,10.2275,93.73,56.86,70.94,10.1,47.48,147.58,14.62,1,"Utica FM"
"128",6206.6,8.31,27.48,2.48,0.001,3.86,1.96,1.85,6.44,0.02,0.09,1.5,10,9.90875,93.79,48.2,82.69,9.38,49.89,118.42,19.65,1,"Utica FM"
"129",6207,7.92,26.23,2.43,0.001,4.15,2.13,1.58,6.38,0.02,0.04,1.5,10,9.59,98.7,40.57,92.74,8.74,51.49,112.03,24.39,1,"Utica FM"
"130",6207.6,3.34,11.86,1.36,0.14,2.14,0.88,0.3,28.87,0.1,0.11,1.5,40.92,10.99,78.54,26.79,165.64,7.87,46.3,65.81,5,4,"Utica FM"
"131",6208,6.37,23.25,1.8,0.001,3.39,1.83,1.64,12.87,0.05,0.17,1.5,10,11.69,98.39,56.12,191.82,10.37,85.66,159.98,12.41,1,"Utica FM"
"132",6208.6,6.51,22.57,2.23,0.001,3.52,2.17,1.28,9.21,0.04,0.1,1.5,10,12.04,86.27,52.87,88.93,8.25,108.92,130.53,17.23,1,"Utica FM"
"133",6209,5.81,19.45,1.74,0.32,3.31,1.78,1.22,14.8,0.06,0.02,1.5,97.77,12.215,98.24,50.94,182.18,9.81,39.42,119.8,14,1,"Utica FM"
"134",6209.6,7,23.06,2.32,0.43,3.56,1.67,1.02,9.86,0.04,0.11,1.5,123.56,12.3025,83.44,39.78,62.2,8.39,45.23,137.43,15.11,1,"Utica FM"
"135",6210,6.27,21.8,2.02,1.16,3.46,1.35,0.95,9.91,0.04,0.1,1.5,110.57,12.34625,108.98,38.22,64.77,11.43,43.55,141.84,12.95,1,"Utica FM"
