"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6244,6.36,22.01,1.82,0.36,3.46,2.61,1.19,14.94,0.07,0.18,1.5,107.41,9.58010559082031,87.81,75.59,60.57,6.86,41.28,127.7,11.92,"Utica FM",2,0.284258112479657,-1.01280209497756,-0.205012047945324
6244.6,6.2,23.18,1.96,0.4,3.45,2.1,1.55,11.73,0.06,0.15,1.5,107.75,9.58,126.3,45.9,73.78,7.55,41.81,136.63,21.2,"Utica FM",2,0.470423450871505,-1.11021907849566,0.0160334456618175
6245,5.9,22.37,1.77,0.001,3.1,1.81,1.13,13.19,0.06,0.1,1.5,10,11.32,114.86,45.63,52.41,9.96,93.05,153.07,15.88,"Utica FM",2,0.580357567246727,-0.710639561866387,0.373959410117023
6245.6,6.53,24.84,2.01,0.001,3.3,1.99,0.76,11.04,0.05,0.11,1.5,10,12.19,103.1,44.43,48.13,9.27,97.3,163.21,20.48,"Utica FM",2,0.763608378022222,-0.530487016347747,0.236823937730978
6246,4.92,19.52,1.55,0.001,2.56,0.98,1.05,17.57,0.06,0.15,1.5,10,12.625,100.64,43.73,76.62,6.51,32.58,107.4,7.8,"Utica FM",2,0.0152620958496099,-0.89122254347354,0.650526484750606
6246.6,5.73,22.45,1.96,0.001,2.91,1.39,0.81,11.64,0.04,0.2,1.5,10,12.8425,118.16,33.95,75.22,10.88,42.13,124.2,9.75,"Utica FM",2,0.316869548471684,-0.696944884463543,0.486422589121876
6247,4.83,20.11,1.54,0.001,3.03,1.71,0.78,15.75,0.06,0.19,1.5,10,12.95125,104.13,43.12,82.89,22.25,33.98,134.22,13.86,"Utica FM",2,-0.0611403028244063,-0.380955249919721,-0.135271714562053
6247.6,5.09,20.58,1.77,0.38,3.16,1.66,1.63,14.32,0.06,0.17,1.5,98.01,13.005625,117.35,39.18,72,11.46,39.62,147.79,16.72,"Utica FM",2,0.301031063787591,-1.23553909305102,0.305457811363268
6248,6.01,22.45,2.06,0.001,3.12,1.52,0.65,11.16,0.04,0.1,1.5,10,13.06,97.16,36.26,66.79,13.16,41.88,110.66,13.04,"Utica FM",2,0.332471402508965,-0.312515696159575,0.269724053541113
6248.6,5.33,20.13,1.64,0.001,2.93,1.43,1.88,13.9,0.05,0.05,1.5,10,13,110.49,45.39,53.37,8.33,39.04,113.8,12.83,"Utica FM",2,0.278506544046944,-0.873381531244673,0.458693605245494
6249,5.94,22.24,1.84,0.001,2.84,0.97,0.84,13.34,0.06,0.1,1.5,10,12.97,103.83,27.24,59.34,13.27,95.44,140.97,10.66,"Utica FM",2,0.568172274766146,-0.571037239767899,0.879009432194945
6249.6,5.77,21.34,1.79,0.34,2.79,0.78,1.84,14.36,0.05,0.05,1.5,106.62,12.955,88.19,7.5,72.86,11.55,38.08,112.71,9.55,"Utica FM",2,0.470352149295108,-0.810169972110651,1.06340087292851
6250,6.85,23.85,2.37,0.001,3.08,1.31,0.8,10.09,0.05,0.17,1.5,10,12.9475,91.45,33.38,79.45,12.07,114.72,136.5,8.49,"Utica FM",2,0.909782406695465,-0.532738721184381,0.818258894715991
6250.6,7.05,24.3,2.31,0.001,3.11,1.14,0.92,9.18,0.04,0.15,1.5,10,12.94375,100.18,7.5,68.51,6.83,117.29,151.07,10.85,"Utica FM",2,1.09826392851757,-0.527756022787966,1.18454900509506
6251,4.43,13.71,0.47,0.001,2.3,1.04,1.05,35.34,0.42,0.02,7.91,10,12.941875,100.21,31.65,41.86,51.9,13.53,60.42,5,"Utica FM",4,-2.34273437644907,0.238752263969147,-1.39289617704696
6251.6,4.2,18.29,1.32,0.001,2.68,1.05,0.3,18.6,0.06,0.14,1.5,10,12.9409375,102.21,26.27,54.75,9.26,31.51,117.96,9.71,"Utica FM",2,-0.203695929919071,-0.537013483113594,0.572779517784708
6252,3.64,16.25,1.04,0.21,2.39,0.88,1.07,23.38,0.08,0.14,1.5,59.01,12.94046875,97.54,28.26,156.94,6.39,53.71,117.49,7.67,"Utica FM",2,-0.0416341405502815,-1.2891330777578,0.843038299455673
6252.6,4.25,18.3,1.29,0.27,2.42,0.83,1.01,20.61,0.07,0.09,1.5,72.5,12.940234375,85.4,34.52,76.88,7.95,23.31,120.37,5,"Utica FM",2,-0.0857599478407487,-1.01740706382332,0.895528138458029
6253,6.32,23.36,1.97,0.001,2.82,0.97,1.52,11.25,0.04,0.14,1.5,10,12.9401171875,106.85,32.33,63.98,9.8,41.57,119.74,10.83,"Utica FM",2,0.492729441047958,-0.732597651760904,0.751695533974513
6253.6,5.1,22.4,1.49,0.37,2.8,1.08,0.85,16.22,0.07,0.15,1.5,87.18,12.94005859375,108.28,32.73,65.05,9.56,30.86,162.95,10.25,"Utica FM",2,0.196432694033913,-1.15395276268771,0.790275180330273
6254,6.38,24.74,1.97,0.001,3.02,1.29,1.06,12.02,0.04,0.18,1.5,10,12.940029296875,102.5,28.45,69.13,28.56,39.95,132.1,12.91,"Utica FM",2,0.317844918810762,-0.0599867309850038,0.142202079328135
6254.6,6.48,24.46,1.98,0.001,2.93,1.36,1.18,12.41,0.05,0.12,1.5,10,12.9400146484375,92.74,29.84,54.46,8.89,39.05,128.35,11.22,"Utica FM",2,0.478325805664623,-0.502619221888878,0.617089158912453
6255,6.77,23.35,2.17,0.001,2.94,2.61,1.18,9.71,0.04,0.1,1.5,10,12.94,97.96,38.65,72.32,10.65,44.75,133.16,18.4,"Utica FM",2,0.552789667489195,-0.357041450692277,-0.129553444140144
6255.6,6.48,22.55,1.61,0.001,2.47,1.41,1.08,18.92,0.07,0.08,1.5,10,11.795,84.85,7.5,59.72,6.49,27.33,99.66,8.95,"Utica FM",2,0.15017084085317,-0.230350305982028,0.701256240095428
6256,2.71,10.27,0.78,0.001,2.02,0.66,0.3,32.58,0.11,0.06,1.5,10,11.2225,78.24,7.5,36.18,8.165,43.52,62.88,5,"Utica FM",4,-0.909898160859882,-0.19705678290764,0.782571535091275
6256.6,6.04,24.25,1.83,0.42,3,1.23,0.8,12.89,0.05,0.1,1.5,96.47,10.65,100.49,33.94,56.76,9.84,36.58,158.63,13.53,"Utica FM",2,0.474038301453625,-0.81992971566035,0.681050588636495
6257,6.04,24.33,2.05,0.45,3.02,1.23,0.93,10.65,0.05,0.14,1.5,102.4,10.755,78.33,39.86,54.2,10.3,41.08,159.67,12.13,"Utica FM",2,0.583418653988904,-0.767575206545457,0.695411689170196
6257.6,7.27,26.14,2.3,0.47,3.05,1.36,1.88,9.33,0.04,0.11,1.5,129.65,10.86,114.82,37.84,65.83,10.39,47,141.66,12.1,"Utica FM",2,0.861408336574208,-1.18834087269719,0.764752575099898
6258,8.43,29.84,2.46,0.51,3.18,1.28,1.32,7.42,0.04,0.03,1.5,141.59,10.89,102.3,42.6,55.36,9.08,44.8,146.15,8.74,"Utica FM",2,1.05895552456077,-1.04919499575146,0.953260878188601
6258.6,6.49,24.98,2.01,0.001,3.18,1.31,1.91,11.39,0.04,0.14,1.5,10,10.92,101.87,36.62,73.29,10.41,39.42,118.4,12.84,"Utica FM",2,0.600565909914548,-0.595991896475258,0.500824238265461
6259,6.57,26.05,2,0.001,2.96,1.03,1.11,10.78,0.05,0.14,1.5,10,11.04,101.45,7.5,60.03,8.88,95.58,142.25,10.35,"Utica FM",2,0.869439033213962,-0.417943332042895,1.11045144728371
6259.6,6.24,25.17,1.98,0.4,2.94,1.14,0.81,11.13,0.05,0.14,1.5,114.16,11.1,85.53,46.67,62.31,11.61,40.52,138.59,12.16,"Utica FM",2,0.480502588966102,-0.864433570685929,0.588268439359101
6260,5.35,23.26,1.56,0.001,2.73,1.15,1.05,15.9,0.07,0.16,1.5,10,11.13,82.33,37.67,71.64,8.36,31.49,119,9.95,"Utica FM",2,0.147492265969997,-0.541602874236516,0.546243864628289
6260.6,1.86,8.49,1.11,0.12,1.95,1.78,0.87,32.54,0.16,0.02,1.5,31.76,11.145,94.95,7.5,88.29,34.17,42.66,55.28,8.77,"Utica FM",4,-1.20767282545997,0.246607241025934,-0.320727763673791
6261,4.35,19.73,1.33,0.28,2.7,1.26,0.98,16.83,0.08,0.12,1.5,69.44,11.1525,112.48,27.44,100.42,8.3,28.71,138.63,10.87,"Utica FM",2,0.0387234415128799,-1.02720918147554,0.6250140113254
6261.6,7.56,28.32,2.29,0.44,3.03,1.21,1.62,8.14,0.05,0.09,1.5,125.43,11.16,97.01,31.58,69.46,8.88,45.75,134.47,14.23,"Utica FM",2,0.894923268651408,-0.989283766631436,0.807371091272965
